Portugues,English
de,of
em,in
e,and
que,what
um,a
por,for
a,a
não,not
com,with
ter,to have
o,The
seu,your
como,as
estar,be
mais,more
mas,but
fazer,do
poder,can
este,It is
ou,or
ele,him
outro,other
muito,much
haver,have
eu,eu
já,already
dizer,to say
ano,yet
dar,but
também,also
quando,When
ver,to see
até,until
dois,two
isso,that
grande,big
vez,turn
algum,some
ela,Is it over there
entre,in between
só,only
aquele,that one
ficar,stay
passar,pass
saber,know
onde,Where
novo,new
sem,who
vir,for
tempo,time
bem,well
porque,why
pessoa,person
quem,who
sempre,always
qual,which
chegar,to arrive
vida,life
homem,men
parte,part
tudo,everything
casa,House
agora,now
lhe,him
trabalho,work
nosso,our
levar,take along
pois,because
bom,Good
começar,to start
próprio,own
maior,bigger
caso,case
falar,speak
país,country
forma,form
cada,each
hoje,today
nem,no
três,three
se,with
aqui,on here
mundo,world
apenas,only
estado,state
segundo,second
qualquer,any
cidade,City
tanto,so much
lado,side
chamar,Call
melhor,best
nome,Name
isto,this
certo,right
mulher,women
deixar,leave
exemplo,example
existir,exist
antes,before
tal,turn
durante,during
terra,Earth
último,last
desde,since
parecer,seem
pequeno,little
quanto,how much
nada,nothing
português,Portuguese
direito,right
público,public
entrar,to enter
problema,problem
viver,to live
além,beyond
pôr,per
história,story
grupo,group
hora,hour
sair,leave
acabar,finish
continuar,Continue
tão,so
voltar,come back
obra,constructions
facto,facto
trabalhar,work
fim,The end
pai,good
apresentar,to introduce
relação,relationship
criar,create
considerar,to consider
momento,time
receber,receive
ideia,idea
política,policy
vários,several
sentir,to feel
livro,book
nós,we
alto,high
força,force
acontecer,happen
tipo,type
presidente,chairman
mil,thousand
enquanto,While
perder,lose
escrever,write
usar,use
nenhum,none
