Portugues,English
de,of
em,in
e,and
que,what
ser,to be
um,a
por,for
para,for
a,a
não,not
com,with
ter,to have
se,with
o,The
seu,your
como,as
estar,be
mais,more
mas,but
fazer,do
poder,can
este,It is
ou,or
ele,him
esse,to be
outro,other
muito,much
haver,have
ir,and
todo,all
eu,eu
já,already
dizer,to say
ano,yet
dar,but
também,also
quando,When
mesmo,same
ver,to see
até,until
dois,two
ainda,still
isso,that
grande,big
vez,turn
algum,some
ela,Is it over there
depois,after
entre,in between
dia,is
só,only
aquele,that one
sobre,about
primeiro,first
ficar,stay
dever,to owe
passar,pass
saber,know
assim,so
querer,to want
onde,Where
novo,new
sem,who
vir,for
tempo,time
bem,well
porque,why
meu,mine
pessoa,person
coisa,thing
então,then
quem,who
sempre,always
qual,which
chegar,to arrive
vida,life
pouco,little bit
homem,men
parte,part
tudo,everything
casa,House
agora,now
lhe,him
trabalho,work
nosso,our
levar,take along
pois,because
deixar,leave
bom,Good
começar,to start
próprio,own
maior,bigger
caso,case
falar,speak
país,country
forma,form
cada,each
hoje,today
nem,no
três,three
se,with
encontrar,meet
meio,quite
aqui,on here
mundo,world
apenas,only
estado,state
segundo,second
qualquer,any
cidade,City
menos,any less
governo,government
partir,leave
conseguir,get
tanto,so much
lado,side
chamar,Call
melhor,best
pensar,think
nome,Name
isto,this
certo,right
mulher,women
deixar,leave
exemplo,example
existir,exist
antes,before
tal,turn
você,you
lá,leaves
durante,during
terra,Earth
último,last
desde,since
contra,against
aí,there
parecer,seem
pequeno,little
quanto,how much
nada,nothing
português,Portuguese
filho,son
tornar,become
água,Water
direito,right
público,public
entrar,to enter
problema,problem
viver,to live
além,beyond
pôr,per
história,story
grupo,group
hora,hour
sair,leave
acabar,finish
continuar,Continue
tão,so
nunca,Never
dentro,inside
voltar,come back
tomar,to take
obra,constructions
facto,facto
ponto,Score
trabalhar,work
fim,The end
quase,almost
pai,good
apresentar,to introduce
relação,relationship
criar,create
considerar,to consider
momento,time
receber,receive
ideia,idea
política,policy
vários,several
lugar,place
sentir,to feel
livro,book
nós,we
mês,month
alto,high
força,force
acontecer,happen
família,family
tipo,type
presidente,chairman
mil,thousand
tratar,treat
enquanto,While
perder,lose
achar,to think
escrever,write
quatro,four
usar,use
único,single
nenhum,none
